,Marital status,Application mode,Application order,Course department,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother qualification,Father qualification,Mother occupation,Father occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,single,General application,>3,Communication and design,daytime,Upper secondary education,122.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Elementary Occupations,127.3,yes,no,no,yes,male,no,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,single,Ordinance/International,1,Business and management,daytime,Upper secondary education,160.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Technicians and Associate Professionals,Technicians and Associate Professionals,142.5,yes,no,no,no,male,no,19,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
2,single,General application,>3,Communication and design,daytime,Upper secondary education,122.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,124.8,yes,no,no,no,male,no,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3,single,General application,2,Communication and design,daytime,Upper secondary education,122.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Technicians and Associate Professionals,119.6,yes,no,no,yes,female,no,20,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
4,in union,Over 23,1,Social sciences and education,evening,Upper secondary education,100.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,141.5,no,no,no,yes,female,no,45,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
5,in union,Over 23,1,Business and management,evening,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,114.8,no,no,yes,yes,male,no,50,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
6,single,General application,1,Health sciences,daytime,Upper secondary education,142.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Other,128.4,yes,no,no,yes,female,yes,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
7,single,General application,>3,Business and management,daytime,Upper secondary education,119.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,113.1,yes,no,no,no,male,no,22,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
8,single,General application,3,Social sciences and education,daytime,Upper secondary education,137.0,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,129.3,no,no,no,yes,female,yes,21,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
9,single,General application,1,Social sciences and education,daytime,Upper secondary education,138.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,123.0,yes,no,yes,no,female,no,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
10,single,General application,1,Business and management,daytime,Upper secondary education,139.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,130.6,yes,no,no,yes,female,no,18,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
11,single,General application,1,Health sciences,daytime,Upper secondary education,136.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,119.3,yes,no,no,yes,female,yes,18,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
12,single,General application,2,Social sciences and education,daytime,Upper secondary education,133.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Elementary Occupations,130.2,yes,no,no,yes,female,no,19,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
13,single,Post-secondary qualification,1,Business and management,daytime,Post-secondary non-tertiary education,110.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,111.8,yes,no,no,yes,female,yes,21,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
14,single,General application,1,Health sciences,daytime,Upper secondary education,149.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,137.1,yes,no,no,yes,female,yes,18,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
15,single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Technicians and Associate Professionals,120.7,yes,no,no,yes,female,no,20,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
16,single,General application,1,Social sciences and education,daytime,Upper secondary education,137.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Plant and Machine Operators and Assemblers,137.4,yes,no,no,yes,female,no,18,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
17,single,General application,2,Health sciences,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Clerical Support Workers,127.3,yes,no,no,yes,female,no,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
18,single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,137.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Technicians and Associate Professionals,Service and Sales Workers,136.3,yes,no,no,yes,female,no,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
19,single,General application,1,Social sciences and education,daytime,Upper secondary education,140.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,124.6,yes,no,no,yes,female,no,18,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
20,single,General application,3,Communication and design,daytime,Upper secondary education,122.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,120.3,no,no,no,yes,female,yes,21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
21,single,General application,>3,Health sciences,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,121.8,yes,no,no,yes,female,no,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
22,single,General application,>3,Health sciences,daytime,Upper secondary education,142.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Managers,Managers,125.5,yes,no,no,yes,female,no,18,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
23,single,General application,>3,Business and management,daytime,Upper secondary education,125.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,114.9,yes,no,no,yes,female,yes,19,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
24,single,General application,1,Health sciences,daytime,Upper secondary education,126.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Craft and Related Trades Workers,123.9,no,no,no,yes,female,no,19,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
